STATE_VAR1,STATE_VAR2,INITIAL_ACTION,REWARD,STATE_VAR1,STATE_VAR2,INITIAL_ACTION,REWARD
1,4,3,0,1,4,3,0
1,4,3,0,1,4,3,0
1,4,0,0,1,4,0,0
1,4,0,0,1,4,0,0
1,4,0,0,1,4,0,0
1,4,0,0,1,4,0,0
1,4,0,0,1,4,0,0
1,4,0,0,1,4,0,0
1,4,3,0,1,4,3,0
1,4,3,0,1,4,3,0
1,4,3,0,1,4,3,0
1,4,3,0,1,4,3,0
1,4,0,0,1,4,0,0
1,4,0,0,1,4,0,0
1,4,1,1,1,4,1,1
2,4,0,1,2,4,0,1
1,4,0,0,1,4,0,0
1,4,0,0,1,4,0,0
1,4,3,0,1,4,3,0
1,4,3,0,1,4,3,0
1,4,3,0,1,4,3,0
1,4,3,0,1,4,3,0
1,4,2,1,1,4,2,1
1,3,0,0,1,3,0,0
1,3,2,1,1,3,2,1
1,2,0,0,1,2,0,0
1,2,2,-10,1,2,2,-10
1,1,0,-10,1,1,0,-10
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,2,0,1,1,2,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,2,0,1,1,2,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,2,0,1,1,2,0
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,0,0,1,1,0,0
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,1,1,2,1,1,1
3,1,0,1,3,1,0,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,0,1,2,1,0,1
1,1,1,1,1,1,1,1
2,1,3,100,2,1,3,100
